# Observation File: surface_outlet_flux.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: outlet flux
# Region: outlet
# Reduction: extensive integral
# Variable: surface-water_flux
# Number of Vectors: 1
# =============================================================================
"time [s]" "outlet flux"
0.000000000000e+00 0.000000000000e+00
6.000000000000e+02 4.984805322681e-01
1.200000000000e+03 7.554733755127e-01
1.800000000000e+03 8.173636132838e-01
2.400000000000e+03 8.297374177669e-01
3.000000000000e+03 8.320188307578e-01
3.600000000000e+03 8.324190040740e-01
4.200000000000e+03 2.400456982375e-01
4.800000000000e+03 8.916355585447e-02
5.400000000000e+03 3.987868091728e-02
6.000000000000e+03 2.048414241046e-02
6.600000000000e+03 1.167994802203e-02
7.200000000000e+03 7.214672307408e-03
7.800000000000e+03 4.743601096135e-03
8.400000000000e+03 3.277476172989e-03
9.000000000000e+03 2.357073564163e-03
9.600000000000e+03 1.751804652665e-03
1.020000000000e+04 1.338072164180e-03
1.080000000000e+04 1.045886580251e-03
