# Observation File: water_balance.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [h]
# -----------------------------------------------------------------------------
# Observation Name: surface water content [mol]
# Region: surface domain
# Reduction: extensive integral
# Variable: surface-water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: subsurface water content [mol]
# Region: computational domain
# Reduction: extensive integral
# Variable: water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: runoff generation [mol 6-min^-1]
# Region: surface outlet
# Reduction: extensive integral
# Variable: surface-water_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: rain precipitation [m 6-min^-1]
# Region: surface domain
# Reduction: average
# Variable: surface-water_source
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: exfiltration [mol 6-min^-1]
# Region: surface domain
# Reduction: extensive integral
# Variable: surface-surface_subsurface_flux
# Number of Vectors: 1
# =============================================================================
"time [h]","surface water content [mol]","subsurface water content [mol]","runoff generation [mol 6-min^-1]","rain precipitation [m 6-min^-1]","exfiltration [mol 6-min^-1]"
0.000000000000e+00,0.000000000000e+00,2.425935232202e+10,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
1.000000000000e-01,0.000000000000e+00,2.427717233273e+10,0.000000000000e+00,1.800000000000e-03,-1.782000000000e+07
2.000000000000e-01,0.000000000000e+00,2.429499233276e+10,0.000000000000e+00,1.800000000000e-03,-1.782000000000e+07
3.000000000000e-01,0.000000000000e+00,2.431281233263e+10,0.000000000000e+00,1.800000000000e-03,-1.782000000000e+07
4.000000000000e-01,0.000000000000e+00,2.433063233344e+10,0.000000000000e+00,1.800000000000e-03,-1.782000000000e+07
5.000000000000e-01,0.000000000000e+00,2.434845233371e+10,0.000000000000e+00,1.800000000000e-03,-1.782000000000e+07
6.000000000000e-01,0.000000000000e+00,2.436627233371e+10,0.000000000000e+00,1.800000000000e-03,-1.782000000000e+07
7.000000000000e-01,0.000000000000e+00,2.438409233371e+10,0.000000000000e+00,1.800000000000e-03,-1.782000000000e+07
8.000000000000e-01,0.000000000000e+00,2.440191233372e+10,0.000000000000e+00,1.800000000000e-03,-1.782000000000e+07
9.000000000000e-01,0.000000000000e+00,2.441973233303e+10,0.000000000000e+00,1.800000000000e-03,-1.782000000000e+07
1.000000000000e+00,0.000000000000e+00,2.443755233295e+10,0.000000000000e+00,1.800000000000e-03,-1.782000000000e+07
1.100000000000e+00,0.000000000000e+00,2.445537233295e+10,0.000000000000e+00,1.800000000000e-03,-1.782000000000e+07
1.200000000000e+00,0.000000000000e+00,2.447319233295e+10,0.000000000000e+00,1.800000000000e-03,-1.782000000000e+07
1.300000000000e+00,0.000000000000e+00,2.449101233295e+10,0.000000000000e+00,1.800000000000e-03,-1.782000000000e+07
1.400000000000e+00,0.000000000000e+00,2.450883233293e+10,0.000000000000e+00,1.800000000000e-03,-1.782000000000e+07
1.500000000000e+00,0.000000000000e+00,2.452665233293e+10,0.000000000000e+00,1.800000000000e-03,-1.782000000000e+07
1.600000000000e+00,0.000000000000e+00,2.454447233293e+10,0.000000000000e+00,1.800000000000e-03,-1.782000000000e+07
1.700000000000e+00,0.000000000000e+00,2.456229233284e+10,0.000000000000e+00,1.800000000000e-03,-1.782000000000e+07
1.800000000000e+00,0.000000000000e+00,2.458011233281e+10,0.000000000000e+00,1.800000000000e-03,-1.782000000000e+07
1.900000000000e+00,0.000000000000e+00,2.459793233277e+10,0.000000000000e+00,1.800000000000e-03,-1.782000000000e+07
2.000000000000e+00,1.042557992454e+03,2.461575129022e+10,0.000000000000e+00,1.800000000000e-03,-1.781895744201e+07
2.100000000000e+00,1.125657748290e+03,2.461575120712e+10,0.000000000000e+00,0.000000000000e+00,8.309975583585e+01
2.200000000000e+00,1.580328391966e+03,2.461575075244e+10,0.000000000000e+00,0.000000000000e+00,4.546706436761e+02
2.300000000000e+00,2.134741326024e+03,2.461575019570e+10,0.000000000000e+00,0.000000000000e+00,5.544129340581e+02
2.400000000000e+00,2.746305435125e+03,2.461574958414e+10,0.000000000000e+00,0.000000000000e+00,6.115641091015e+02
2.500000000000e+00,3.369472523593e+03,2.461574896097e+10,0.000000000000e+00,0.000000000000e+00,6.231670884680e+02
2.600000000000e+00,4.054298764459e+03,2.461574827614e+10,0.000000000000e+00,0.000000000000e+00,6.848262408656e+02
2.700000000000e+00,4.687071829680e+03,2.461574764337e+10,0.000000000000e+00,0.000000000000e+00,6.327730652210e+02
2.800000000000e+00,5.312366006215e+03,2.461574701807e+10,0.000000000000e+00,0.000000000000e+00,6.252941765350e+02
2.900000000000e+00,5.890907478632e+03,2.461574643953e+10,0.000000000000e+00,0.000000000000e+00,5.785414724172e+02
3.000000000000e+00,6.402658758707e+03,2.461574592778e+10,0.000000000000e+00,0.000000000000e+00,5.117512800745e+02
3.100000000000e+00,9.036995499329e+03,2.461574329345e+10,0.000000000000e+00,0.000000000000e+00,2.634336740622e+03
3.200000000000e+00,1.168864296442e+04,2.461574064180e+10,0.000000000000e+00,0.000000000000e+00,2.651647465092e+03
3.300000000000e+00,1.439970344814e+04,2.461573793074e+10,0.000000000000e+00,0.000000000000e+00,2.711060483715e+03
3.400000000000e+00,1.716800250453e+04,2.461573516169e+10,7.513112387301e-01,0.000000000000e+00,2.769050367633e+03
3.500000000000e+00,2.128909366186e+04,2.461573102892e+10,1.167963795988e+01,0.000000000000e+00,4.132770795292e+03
3.600000000000e+00,3.279822176885e+04,2.461571948450e+10,3.528996884668e+01,0.000000000000e+00,1.154441807583e+04
3.700000000000e+00,5.072898711369e+04,2.461570148462e+10,6.911355364159e+01,0.000000000000e+00,1.799987889849e+04
3.800000000000e+00,7.686728517038e+04,2.461567523486e+10,1.114671876392e+02,0.000000000000e+00,2.624976524432e+04
3.900000000000e+00,1.092603024088e+05,2.461564268024e+10,1.615986403612e+02,0.000000000000e+00,3.255461587876e+04
4.000000000000e+00,1.446241723090e+05,2.461560709765e+10,2.187219256223e+02,0.000000000000e+00,3.558259182585e+04
