# Observation File: surface-total_transpiration.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: total_transpiration
# Region: surface domain
# Reduction: point
# Variable: surface-total_transpiration
# Number of Vectors: 1
# =============================================================================
"time [s]" "total_transpiration"
0.000000000000e+00 4.676628267274e-08
8.640000000000e+04 4.676628267274e-08
1.728000000000e+05 4.676628267274e-08
2.592000000000e+05 4.676628267274e-08
3.456000000000e+05 4.676628267274e-08
4.320000000000e+05 4.676344997323e-08
5.184000000000e+05 4.664884485015e-08
6.048000000000e+05 4.653557723603e-08
6.912000000000e+05 4.642551403029e-08
7.776000000000e+05 4.632063380148e-08
8.640000000000e+05 4.617738796499e-08
9.504000000000e+05 4.603994917817e-08
1.036800000000e+06 4.593064581134e-08
1.123200000000e+06 4.582701733773e-08
1.209600000000e+06 4.572482580972e-08
1.296000000000e+06 4.562435657950e-08
1.382400000000e+06 4.555803009227e-08
1.468800000000e+06 4.587446742698e-08
1.555200000000e+06 4.611695907429e-08
1.641600000000e+06 4.616877812876e-08
1.728000000000e+06 4.612777853578e-08
1.814400000000e+06 4.606063616241e-08
1.900800000000e+06 4.595266153569e-08
1.987200000000e+06 4.582604973321e-08
2.073600000000e+06 4.568824985688e-08
2.160000000000e+06 4.554497789633e-08
2.246400000000e+06 4.384738561472e-08
2.332800000000e+06 4.172655973434e-08
2.419200000000e+06 4.018330061694e-08
2.505600000000e+06 3.877269884473e-08
2.592000000000e+06 3.654361804522e-08
