# Observation File: water_content.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: water_content
# Region: computational domain
# Reduction: extensive integral
# Variable: water_content
# Number of Vectors: 1
# =============================================================================
"time [s]" "water_content"
0.000000000000e+00 2.100913136609e+05
8.640000000000e+04 2.112946818912e+05
1.728000000000e+05 2.110724484784e+05
2.592000000000e+05 2.108502151378e+05
3.456000000000e+05 2.106279817628e+05
4.320000000000e+05 2.104057617867e+05
5.184000000000e+05 2.101840863222e+05
6.048000000000e+05 2.099629493166e+05
6.912000000000e+05 2.097423349318e+05
7.776000000000e+05 2.095222191625e+05
8.640000000000e+05 2.107283340035e+05
9.504000000000e+05 2.105093598621e+05
1.036800000000e+06 2.102910977184e+05
1.123200000000e+06 2.100733277313e+05
1.209600000000e+06 2.098560430222e+05
1.296000000000e+06 2.096392358125e+05
1.382400000000e+06 2.108482634680e+05
1.468800000000e+06 2.106309517374e+05
1.555200000000e+06 2.104120328427e+05
1.641600000000e+06 2.101926388093e+05
1.728000000000e+06 2.099734395920e+05
1.814400000000e+06 2.097545597269e+05
1.900800000000e+06 2.095361922076e+05
1.987200000000e+06 2.093184263839e+05
2.073600000000e+06 2.091013154207e+05
2.160000000000e+06 2.088848853216e+05
2.246400000000e+06 2.086765225537e+05
2.332800000000e+06 2.084782386781e+05
2.419200000000e+06 2.082872874806e+05
2.505600000000e+06 2.081030396158e+05
2.592000000000e+06 2.079293843611e+05
