# Observation File: surface-potential_transpiration_mps.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: surface-transpiration_mps
# Region: surface domain
# Reduction: point
# Variable: surface-potential_transpiration_mps
# Number of Vectors: 1
# =============================================================================
"time [s]" "surface-transpiration_mps"
0.000000000000e+00 4.676628267274e-08
8.640000000000e+04 4.676628267274e-08
1.728000000000e+05 4.676628267274e-08
2.592000000000e+05 4.676628267274e-08
3.456000000000e+05 4.676628267274e-08
4.320000000000e+05 4.676628267274e-08
5.184000000000e+05 4.676628267274e-08
6.048000000000e+05 4.676628267274e-08
6.912000000000e+05 4.676628267274e-08
7.776000000000e+05 4.676628267274e-08
8.640000000000e+05 4.676628267274e-08
9.504000000000e+05 4.676628267274e-08
1.036800000000e+06 4.676628267274e-08
1.123200000000e+06 4.676628267274e-08
1.209600000000e+06 4.676628267274e-08
1.296000000000e+06 4.676628267274e-08
1.382400000000e+06 4.676628267274e-08
1.468800000000e+06 4.676628267274e-08
1.555200000000e+06 4.676628267274e-08
1.641600000000e+06 4.676628267274e-08
1.728000000000e+06 4.676628267274e-08
1.814400000000e+06 4.676628267274e-08
1.900800000000e+06 4.676628267274e-08
1.987200000000e+06 4.676628267274e-08
2.073600000000e+06 4.676628267274e-08
2.160000000000e+06 4.676628267274e-08
2.246400000000e+06 4.676628267274e-08
2.332800000000e+06 4.676628267274e-08
2.419200000000e+06 4.676628267274e-08
2.505600000000e+06 4.676628267274e-08
2.592000000000e+06 4.676628267274e-08
