# Observation File: surface-total_transpiration.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: total_transpiration
# Region: surface domain
# Reduction: point
# Variable: surface-total_transpiration
# Number of Vectors: 1
# =============================================================================
"time [s]" "total_transpiration"
0.000000000000e+00 4.676628267274e-08
8.640000000000e+04 4.676628267274e-08
1.728000000000e+05 4.676628267274e-08
2.592000000000e+05 4.676628267274e-08
3.456000000000e+05 4.676628267274e-08
4.320000000000e+05 4.676628267274e-08
5.184000000000e+05 4.676628267274e-08
6.048000000000e+05 4.676628267274e-08
6.912000000000e+05 4.676628267274e-08
7.776000000000e+05 4.676628267257e-08
8.640000000000e+05 4.676628267273e-08
9.504000000000e+05 4.203546731373e-08
1.036800000000e+06 3.442734817877e-08
1.123200000000e+06 2.773913156372e-08
1.209600000000e+06 2.241509349485e-08
1.296000000000e+06 1.835667696448e-08
1.382400000000e+06 1.529170831602e-08
1.468800000000e+06 1.295876167783e-08
1.555200000000e+06 1.115585894527e-08
1.641600000000e+06 9.738049065490e-09
1.728000000000e+06 8.603553638557e-09
1.814400000000e+06 7.680877461102e-09
1.900800000000e+06 6.919275089703e-09
1.987200000000e+06 6.282199864232e-09
2.073600000000e+06 5.742906049313e-09
2.160000000000e+06 5.281503041816e-09
2.246400000000e+06 4.882967389548e-09
2.332800000000e+06 4.535784950077e-09
2.419200000000e+06 4.231028530067e-09
2.505600000000e+06 3.961634318490e-09
2.592000000000e+06 3.722003910627e-09
