# Observation File: water_content.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: water_content
# Region: computational domain
# Reduction: extensive integral
# Variable: water_content
# Number of Vectors: 1
# =============================================================================
"time [s]" "water_content"
0.000000000000e+00 1.763203753475e+05
8.640000000000e+04 1.760981419705e+05
1.728000000000e+05 1.758759085954e+05
2.592000000000e+05 1.756536752237e+05
3.456000000000e+05 1.754314418485e+05
4.320000000000e+05 1.752092084732e+05
5.184000000000e+05 1.749869750792e+05
6.048000000000e+05 1.747647420045e+05
6.912000000000e+05 1.745425086294e+05
7.776000000000e+05 1.743202752542e+05
8.640000000000e+05 1.740980418795e+05
9.504000000000e+05 1.738982893661e+05
1.036800000000e+06 1.737346908829e+05
1.123200000000e+06 1.736028749657e+05
1.209600000000e+06 1.734963587658e+05
1.296000000000e+06 1.734091280078e+05
1.382400000000e+06 1.733364618922e+05
1.468800000000e+06 1.732748818978e+05
1.555200000000e+06 1.732218692785e+05
1.641600000000e+06 1.731755940825e+05
1.728000000000e+06 1.731347100038e+05
1.814400000000e+06 1.730982104795e+05
1.900800000000e+06 1.730653300879e+05
1.987200000000e+06 1.730354770767e+05
2.073600000000e+06 1.730081867890e+05
2.160000000000e+06 1.729830890879e+05
2.246400000000e+06 1.729598852279e+05
2.332800000000e+06 1.729383311785e+05
2.419200000000e+06 1.729182261701e+05
2.505600000000e+06 1.728994011081e+05
2.592000000000e+06 1.728817146176e+05
