# Observation File: breakthrough_curve.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: surface-component_concentration
# Region: observation point
# Reduction: point
# Variable: surface-total_component_concentration
# Number of Vectors: 2
# =============================================================================
"time [s]" "surface-component_concentration Tracer1" "surface-component_concentration Tracer2"
0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
1.200000000000e+02 1.283355326203e-38 1.283355326203e-38
2.400000000000e+02 1.486378983770e-37 1.486378983770e-37
3.600000000000e+02 1.959190613289e-36 1.959190613289e-36
4.800000000000e+02 2.593829463201e-35 2.593829463201e-35
6.000000000000e+02 3.434658545770e-34 3.434658545770e-34
7.200000000000e+02 4.547832727040e-33 4.547832727040e-33
8.400000000000e+02 6.018777597170e-32 6.018777597170e-32
9.600000000000e+02 7.943501819766e-31 7.943501819766e-31
1.080000000000e+03 1.037731119754e-29 1.037731119754e-29
1.200000000000e+03 1.320219305551e-28 1.320219305551e-28
1.320000000000e+03 1.595783462624e-27 1.595783462624e-27
1.440000000000e+03 1.783980776274e-26 1.783980776274e-26
1.560000000000e+03 1.804761455933e-25 1.804761455933e-25
1.680000000000e+03 1.630796967606e-24 1.630796967606e-24
1.800000000000e+03 1.310436890836e-23 1.310436890836e-23
1.920000000000e+03 9.385335816970e-23 9.385335816970e-23
2.040000000000e+03 6.031593395724e-22 6.031593395724e-22
2.160000000000e+03 3.511121944078e-21 3.511121944078e-21
2.280000000000e+03 1.871120947360e-20 1.871120947360e-20
2.400000000000e+03 9.228138437937e-20 9.228138437937e-20
2.520000000000e+03 4.255481093566e-19 4.255481093566e-19
2.640000000000e+03 1.850247848188e-18 1.850247848188e-18
2.760000000000e+03 7.624931025576e-18 7.624931025576e-18
2.880000000000e+03 2.988273648940e-17 2.988273648940e-17
3.000000000000e+03 1.118281430793e-16 1.118281430793e-16
3.120000000000e+03 4.015123360640e-16 4.015123360640e-16
3.240000000000e+03 1.383505881079e-15 1.383505881079e-15
3.360000000000e+03 4.538066760142e-15 4.538066760142e-15
3.480000000000e+03 1.410689432743e-14 1.410689432743e-14
3.600000000000e+03 4.177018744793e-14 4.177018744793e-14
3.720000000000e+03 1.183210402874e-13 1.183210402874e-13
3.840000000000e+03 3.597158658764e-13 3.597158658764e-13
3.960000000000e+03 1.442069026219e-12 1.442069026219e-12
4.080000000000e+03 5.649202159657e-12 5.649202159657e-12
4.200000000000e+03 2.102920224164e-11 2.102920224164e-11
4.320000000000e+03 7.438326357578e-11 7.438326357578e-11
4.440000000000e+03 2.502459469331e-10 2.502459469331e-10
4.560000000000e+03 8.015981481398e-10 8.015981481398e-10
4.680000000000e+03 2.447522318106e-09 2.447522318106e-09
4.800000000000e+03 7.131519914999e-09 7.131519914999e-09
4.920000000000e+03 1.985396650006e-08 1.985396650006e-08
5.040000000000e+03 5.287633616047e-08 5.287633616047e-08
5.160000000000e+03 1.348883187764e-07 1.348883187764e-07
5.280000000000e+03 3.300225438583e-07 3.300225438583e-07
5.400000000000e+03 7.754087468262e-07 7.754087468262e-07
5.520000000000e+03 1.751856576411e-06 1.751856576411e-06
5.640000000000e+03 3.810737598192e-06 3.810737598192e-06
5.760000000000e+03 7.991362553233e-06 7.991362553233e-06
5.880000000000e+03 1.617660634072e-05 1.617660634072e-05
6.000000000000e+03 3.164867083825e-05 3.164867083825e-05
6.120000000000e+03 5.991884359239e-05 5.991884359239e-05
6.240000000000e+03 1.099107479321e-04 1.099107479321e-04
6.360000000000e+03 1.955708141627e-04 1.955708141627e-04
6.480000000000e+03 3.379574260290e-04 3.379574260290e-04
6.600000000000e+03 5.678175742627e-04 5.678175742627e-04
6.720000000000e+03 9.285958104565e-04 9.285958104565e-04
6.840000000000e+03 1.479737865427e-03 1.479737865427e-03
6.960000000000e+03 2.300058320552e-03 2.300058320552e-03
7.080000000000e+03 3.490850611978e-03 3.490850611978e-03
7.200000000000e+03 5.178343994718e-03 5.178343994718e-03
7.320000000000e+03 7.515072227154e-03 7.515072227154e-03
7.440000000000e+03 1.067972666266e-02 1.067972666266e-02
7.560000000000e+03 1.487513075927e-02 1.487513075927e-02
7.680000000000e+03 2.032409455439e-02 2.032409455439e-02
7.800000000000e+03 2.726307830678e-02 2.726307830678e-02
7.920000000000e+03 3.593379777414e-02 3.593379777414e-02
8.040000000000e+03 4.657311662743e-02 4.657311662743e-02
8.160000000000e+03 5.940176842653e-02 5.940176842653e-02
8.280000000000e+03 7.461260640050e-02 7.461260640050e-02
8.400000000000e+03 9.235917366127e-02 9.235917366127e-02
8.520000000000e+03 1.127454067562e-01 1.127454067562e-01
8.640000000000e+03 1.358172283079e-01 1.358172283079e-01
8.760000000000e+03 1.615566561102e-01 1.615566561102e-01
8.880000000000e+03 1.898788709665e-01 1.898788709665e-01
9.000000000000e+03 2.206324642252e-01 2.206324642252e-01
9.120000000000e+03 2.536028517990e-01 2.536028517990e-01
9.240000000000e+03 2.885186176991e-01 2.885186176991e-01
9.360000000000e+03 3.250603570646e-01 3.250603570646e-01
9.480000000000e+03 3.628714416513e-01 3.628714416513e-01
9.600000000000e+03 4.015700388736e-01 4.015700388736e-01
9.720000000000e+03 4.407616814873e-01 4.407616814873e-01
9.840000000000e+03 4.800517056684e-01 4.800517056684e-01
9.960000000000e+03 5.190569426780e-01 5.190569426780e-01
1.008000000000e+04 5.574161523897e-01 5.574161523897e-01
1.020000000000e+04 5.947988129518e-01 5.947988129518e-01
1.032000000000e+04 6.309120169463e-01 6.309120169463e-01
1.044000000000e+04 6.655053589103e-01 6.655053589103e-01
1.056000000000e+04 6.983738223483e-01 6.983738223483e-01
1.068000000000e+04 7.293587793089e-01 7.293587793089e-01
1.080000000000e+04 7.583472978187e-01 7.583472978187e-01
1.092000000000e+04 7.852700101510e-01 7.852700101510e-01
1.104000000000e+04 8.100978284400e-01 8.100978284400e-01
1.116000000000e+04 8.328378056586e-01 8.328378056586e-01
1.128000000000e+04 8.535284327835e-01 8.535284327835e-01
1.140000000000e+04 8.722346410626e-01 8.722346410626e-01
1.152000000000e+04 8.890427458967e-01 8.890427458967e-01
1.164000000000e+04 9.040555299960e-01 9.040555299960e-01
1.176000000000e+04 9.173876217982e-01 9.173876217982e-01
1.188000000000e+04 9.291612836610e-01 9.291612836610e-01
1.200000000000e+04 9.395026854033e-01 9.395026854033e-01
1.212000000000e+04 9.485387040313e-01 9.485387040313e-01
1.224000000000e+04 9.563942609465e-01 9.563942609465e-01
1.236000000000e+04 9.631901840601e-01 9.631901840601e-01
1.248000000000e+04 9.690415640374e-01 9.690415640374e-01
1.260000000000e+04 9.740565610356e-01 9.740565610356e-01
1.272000000000e+04 9.783356102134e-01 9.783356102134e-01
1.284000000000e+04 9.819709702851e-01 9.819709702851e-01
1.296000000000e+04 9.850465587010e-01 9.850465587010e-01
1.308000000000e+04 9.876380189076e-01 9.876380189076e-01
1.320000000000e+04 9.898129688693e-01 9.898129688693e-01
1.332000000000e+04 9.916313849911e-01 9.916313849911e-01
1.344000000000e+04 9.931460812348e-01 9.931460812348e-01
1.356000000000e+04 9.944032491378e-01 9.944032491378e-01
1.368000000000e+04 9.954430302946e-01 9.954430302946e-01
1.380000000000e+04 9.963000983964e-01 9.963000983964e-01
1.392000000000e+04 9.970042329841e-01 9.970042329841e-01
1.404000000000e+04 9.975808715576e-01 9.975808715576e-01
1.416000000000e+04 9.980516305552e-01 9.980516305552e-01
1.428000000000e+04 9.984347889656e-01 9.984347889656e-01
1.440000000000e+04 9.987457309934e-01 9.987457309934e-01
1.452000000000e+04 9.989973463130e-01 9.989973463130e-01
1.464000000000e+04 9.992003880672e-01 9.992003880672e-01
1.476000000000e+04 9.993637899733e-01 9.993637899733e-01
1.488000000000e+04 9.994949447461e-01 9.994949447461e-01
1.500000000000e+04 9.995999465968e-01 9.995999465968e-01
1.512000000000e+04 9.996838008893e-01 9.996838008893e-01
1.524000000000e+04 9.997506041650e-01 9.997506041650e-01
1.536000000000e+04 9.998036977437e-01 9.998036977437e-01
1.548000000000e+04 9.998457980030e-01 9.998457980030e-01
1.560000000000e+04 9.998791062628e-01 9.998791062628e-01
1.572000000000e+04 9.999054009821e-01 9.999054009821e-01
1.584000000000e+04 9.999261147339e-01 9.999261147339e-01
1.596000000000e+04 9.999423981699e-01 9.999423981699e-01
1.608000000000e+04 9.999551729395e-01 9.999551729395e-01
1.620000000000e+04 9.999651752834e-01 9.999651752834e-01
1.632000000000e+04 9.999729918034e-01 9.999729918034e-01
1.644000000000e+04 9.999790886971e-01 9.999790886971e-01
1.656000000000e+04 9.999838355666e-01 9.999838355666e-01
1.668000000000e+04 9.999875247374e-01 9.999875247374e-01
1.680000000000e+04 9.999903868832e-01 9.999903868832e-01
1.692000000000e+04 9.999926036216e-01 9.999926036216e-01
1.704000000000e+04 9.999943176359e-01 9.999943176359e-01
1.716000000000e+04 9.999956407849e-01 9.999956407849e-01
1.728000000000e+04 9.999966605825e-01 9.999966605825e-01
1.740000000000e+04 9.999974453594e-01 9.999974453594e-01
1.752000000000e+04 9.999980483644e-01 9.999980483644e-01
1.764000000000e+04 9.999985110153e-01 9.999985110153e-01
1.776000000000e+04 9.999988654679e-01 9.999988654679e-01
1.788000000000e+04 9.999991366428e-01 9.999991366428e-01
1.800000000000e+04 9.999993438198e-01 9.999993438198e-01
