# Observation File: breakthrough_curve.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: surface-component_concentration
# Region: observation point
# Functional: point
# Variable: surface-total_component_concentration
# Number of Vectors: 2
# =============================================================================
"time [s]" "surface-component_concentration"
0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
1.200000000000e+02 1.283355326202e-38 1.283355326202e-38
2.400000000000e+02 1.712605743390e-36 1.712605743390e-36
3.600000000000e+02 1.109619219381e-34 1.109619219381e-34
4.800000000000e+02 4.650457091429e-33 4.650457091429e-33
6.000000000000e+02 1.418073301390e-31 1.418073301390e-31
7.200000000000e+02 3.356342846283e-30 3.356342846283e-30
8.400000000000e+02 6.425669234410e-29 6.425669234410e-29
9.600000000000e+02 1.024205932406e-27 1.024205932406e-27
1.080000000000e+03 1.388486213594e-26 1.388486213594e-26
1.200000000000e+03 1.627305555487e-25 1.627305555487e-25
1.320000000000e+03 1.670008797050e-24 1.670008797050e-24
1.440000000000e+03 1.516133464405e-23 1.516133464405e-23
1.560000000000e+03 1.228031444813e-22 1.228031444813e-22
1.680000000000e+03 8.939662692366e-22 8.939662692366e-22
1.800000000000e+03 5.887360905410e-21 5.887360905410e-21
1.920000000000e+03 3.528436818885e-20 3.528436818885e-20
2.040000000000e+03 1.934906588379e-19 1.934906588379e-19
2.160000000000e+03 9.757551345996e-19 9.757551345996e-19
2.280000000000e+03 4.545409717537e-18 4.545409717537e-18
2.400000000000e+03 1.962986194269e-17 1.962986194269e-17
2.520000000000e+03 7.882676477170e-17 7.882676477170e-17
2.640000000000e+03 2.953840833261e-16 2.953840833261e-16
2.760000000000e+03 1.038050023118e-15 1.038050023118e-15
2.880000000000e+03 3.440837706393e-15 3.440837706393e-15
3.000000000000e+03 1.080973299869e-14 1.080973299869e-14
3.120000000000e+03 3.205838125655e-14 3.205838125655e-14
3.240000000000e+03 8.993580913845e-14 8.993580913845e-14
3.360000000000e+03 2.437877639484e-13 2.437877639484e-13
3.480000000000e+03 6.991701541919e-13 6.991701541919e-13
