# Observation File: outlet_sorbed.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: subsurface-sorbed_concentration
# Region: outlet
# Functional: point
# Variable: total_sorbed
# Number of Vectors: 2
# =============================================================================
"time [s]" "subsurface-sorbed_concentration"
0.000000000000e+00 1.001803245843e-18 5.009016229213e-19
6.000000000000e+01 1.001803245843e-18 5.009016229213e-19
1.200000000000e+02 1.001803245843e-18 5.009016229213e-19
1.800000000000e+02 1.001803245843e-18 5.009016229213e-19
2.400000000000e+02 1.001803245843e-18 5.009016229213e-19
3.000000000000e+02 1.001803245843e-18 5.009016229213e-19
3.600000000000e+02 1.001803245843e-18 5.009016229213e-19
4.200000000000e+02 1.001803245843e-18 5.009016229213e-19
4.800000000000e+02 1.001803245843e-18 5.009016229213e-19
5.400000000000e+02 1.001803245843e-18 5.009016229213e-19
6.000000000000e+02 1.001803245843e-18 5.009016229213e-19
6.600000000000e+02 1.001803245843e-18 5.009016229213e-19
7.200000000000e+02 1.001803245843e-18 5.009016229213e-19
7.800000000000e+02 1.001803245843e-18 5.009016229213e-19
8.400000000000e+02 1.001803245843e-18 5.009016229213e-19
9.000000000000e+02 1.001803245843e-18 5.009016229213e-19
9.600000000000e+02 1.001803245843e-18 5.009016229213e-19
1.020000000000e+03 1.001803245843e-18 5.009016229213e-19
1.080000000000e+03 1.001803245843e-18 5.009016229213e-19
1.140000000000e+03 1.001803245843e-18 5.009016229213e-19
1.200000000000e+03 1.001803245843e-18 5.009016229213e-19
1.260000000000e+03 1.001803245843e-18 5.009016229213e-19
1.320000000000e+03 1.001803245843e-18 5.009016229213e-19
1.380000000000e+03 1.001803245843e-18 5.009016229213e-19
1.440000000000e+03 1.001803245843e-18 5.009016229213e-19
1.500000000000e+03 1.001803245843e-18 5.009016229213e-19
1.560000000000e+03 1.001803245843e-18 5.009016229213e-19
1.620000000000e+03 1.001803245843e-18 5.009016229213e-19
1.680000000000e+03 1.001803245843e-18 5.009016229213e-19
1.740000000000e+03 1.001803245843e-18 5.009016229213e-19
1.800000000000e+03 1.001803245843e-18 5.009016229213e-19
1.860000000000e+03 1.001803245843e-18 5.009016229213e-19
1.920000000000e+03 1.001803245843e-18 5.009016229213e-19
1.980000000000e+03 1.001803245843e-18 5.009016229213e-19
2.040000000000e+03 1.001803245843e-18 5.009016229213e-19
2.100000000000e+03 1.001803245843e-18 5.009016229213e-19
2.160000000000e+03 1.001803245843e-18 5.009016229213e-19
2.220000000000e+03 1.001803245843e-18 5.009016229213e-19
2.280000000000e+03 1.001803245843e-18 5.009016229213e-19
2.340000000000e+03 1.001803245843e-18 5.009016229213e-19
2.400000000000e+03 1.001803245843e-18 5.009016229213e-19
2.460000000000e+03 1.001803245843e-18 5.009016229213e-19
2.520000000000e+03 1.001803245843e-18 5.009016229213e-19
2.580000000000e+03 1.001803245843e-18 5.009016229213e-19
2.640000000000e+03 1.001803245843e-18 5.009016229213e-19
2.700000000000e+03 1.001803245843e-18 5.009016229213e-19
2.760000000000e+03 1.001803245843e-18 5.009016229213e-19
2.820000000000e+03 1.001803245843e-18 5.009016229213e-19
2.880000000000e+03 1.001803245843e-18 5.009016229213e-19
2.940000000000e+03 1.001803245843e-18 5.009016229213e-19
3.000000000000e+03 1.001803245843e-18 5.009016229213e-19
3.060000000000e+03 1.001803245843e-18 5.009016229213e-19
3.120000000000e+03 1.001803245843e-18 5.009016229213e-19
3.180000000000e+03 1.001803245843e-18 5.009016229213e-19
3.240000000000e+03 1.001803245843e-18 5.009016229213e-19
3.300000000000e+03 1.001803245843e-18 5.009016229213e-19
3.360000000000e+03 1.001803245843e-18 5.009016229213e-19
3.420000000000e+03 1.001803245843e-18 5.009016229213e-19
3.480000000000e+03 1.001803245843e-18 5.009016229213e-19
3.540000000000e+03 1.001803245843e-18 5.009016229213e-19
3.600000000000e+03 1.001803245843e-18 5.009016229213e-19
3.660000000000e+03 1.001803245843e-18 5.009016229213e-19
3.720000000000e+03 1.001803245843e-18 5.009016229213e-19
3.780000000000e+03 1.001803245843e-18 5.009016229213e-19
3.840000000000e+03 1.001803245843e-18 5.009016229213e-19
3.900000000000e+03 1.001803245843e-18 5.009016229213e-19
3.960000000000e+03 1.001803245843e-18 5.009016229213e-19
4.020000000000e+03 1.001803245843e-18 5.009016229213e-19
4.080000000000e+03 1.001803245843e-18 5.009016229213e-19
4.140000000000e+03 1.001803245843e-18 5.009016229213e-19
4.200000000000e+03 1.001803245843e-18 5.009016229213e-19
4.260000000000e+03 1.001803245843e-18 5.009016229213e-19
4.320000000000e+03 1.001803245843e-18 5.009016229213e-19
4.380000000000e+03 1.001803245843e-18 5.009016229213e-19
4.440000000000e+03 1.001803245843e-18 5.009016229213e-19
4.500000000000e+03 1.001803245843e-18 5.009016229213e-19
4.560000000000e+03 1.001803245843e-18 5.009016229213e-19
4.620000000000e+03 1.001803245843e-18 5.009016229213e-19
4.680000000000e+03 1.001803245843e-18 5.009016229213e-19
4.740000000000e+03 1.001803245843e-18 5.009016229213e-19
4.800000000000e+03 1.001803245843e-18 5.009016229213e-19
4.860000000000e+03 1.001803245843e-18 5.009016229213e-19
4.920000000000e+03 1.001803245843e-18 5.009016229213e-19
4.980000000000e+03 1.001803245843e-18 5.009016229213e-19
5.040000000000e+03 1.001803245843e-18 5.009016229213e-19
5.100000000000e+03 1.001803245843e-18 5.009016229213e-19
5.160000000000e+03 1.001803245843e-18 5.009016229213e-19
5.220000000000e+03 1.001803245843e-18 5.009016229213e-19
5.280000000000e+03 1.001803245843e-18 5.009016229213e-19
5.340000000000e+03 1.001803245843e-18 5.009016229213e-19
5.400000000000e+03 1.001803245843e-18 5.009016229213e-19
5.460000000000e+03 1.001803245843e-18 5.009016229213e-19
5.520000000000e+03 1.001803245843e-18 5.009016229213e-19
5.580000000000e+03 1.001803245843e-18 5.009016229213e-19
5.640000000000e+03 1.001803245843e-18 5.009016229213e-19
5.700000000000e+03 1.001803245843e-18 5.009016229213e-19
5.760000000000e+03 1.001803245843e-18 5.009016229213e-19
5.820000000000e+03 1.001803245843e-18 5.009016229213e-19
5.880000000000e+03 1.001803245843e-18 5.009016229213e-19
5.940000000000e+03 1.001803245843e-18 5.009016229213e-19
6.000000000000e+03 1.001803245843e-18 5.009016229213e-19
6.060000000000e+03 1.001803245843e-18 5.009016229213e-19
6.120000000000e+03 1.001803245843e-18 5.009016229213e-19
6.180000000000e+03 1.001803245843e-18 5.009016229213e-19
6.240000000000e+03 1.001803245843e-18 5.009016229213e-19
6.300000000000e+03 1.001803245843e-18 5.009016229213e-19
6.360000000000e+03 1.001803245843e-18 5.009016229213e-19
6.420000000000e+03 1.001803245843e-18 5.009016229213e-19
6.480000000000e+03 1.001803245843e-18 5.009016229213e-19
6.540000000000e+03 1.001803245843e-18 5.009016229213e-19
6.600000000000e+03 1.001803245843e-18 5.009016229213e-19
6.660000000000e+03 1.001803245843e-18 5.009016229213e-19
6.720000000000e+03 1.001803245843e-18 5.009016229213e-19
6.780000000000e+03 1.001803245843e-18 5.009016229213e-19
6.840000000000e+03 1.001803245843e-18 5.009016229213e-19
6.900000000000e+03 1.001803245843e-18 5.009016229213e-19
6.960000000000e+03 1.001803245843e-18 5.009016229213e-19
7.020000000000e+03 1.001803245843e-18 5.009016229213e-19
7.080000000000e+03 1.001803245843e-18 5.009016229213e-19
7.140000000000e+03 1.001803245843e-18 5.009016229213e-19
7.200000000000e+03 1.001803245843e-18 5.009016229213e-19
7.260000000000e+03 1.001803245843e-18 5.009016229213e-19
7.320000000000e+03 1.001803245843e-18 5.009016229213e-19
7.380000000000e+03 1.001803245843e-18 5.009016229213e-19
7.440000000000e+03 1.001803245843e-18 5.009016229213e-19
7.500000000000e+03 1.001803245843e-18 5.009016229213e-19
7.560000000000e+03 1.001803245843e-18 5.009016229213e-19
7.620000000000e+03 1.001803245843e-18 5.009016229213e-19
7.680000000000e+03 1.001803245843e-18 5.009016229213e-19
7.740000000000e+03 1.001803245843e-18 5.009016229213e-19
7.800000000000e+03 1.001803245843e-18 5.009016229213e-19
7.860000000000e+03 1.001803245843e-18 5.009016229213e-19
7.920000000000e+03 1.001803245843e-18 5.009016229213e-19
7.980000000000e+03 1.001803245843e-18 5.009016229213e-19
8.040000000000e+03 1.001803245843e-18 5.009016229213e-19
8.100000000000e+03 1.001803245843e-18 5.009016229213e-19
8.160000000000e+03 1.001803245843e-18 5.009016229213e-19
8.220000000000e+03 1.001803245843e-18 5.009016229213e-19
8.280000000000e+03 1.001803245843e-18 5.009016229213e-19
8.340000000000e+03 1.001803245843e-18 5.009016229213e-19
8.400000000000e+03 1.001803245843e-18 5.009016229213e-19
8.460000000000e+03 3.757889893911e-15 7.056078883504e-15
8.520000000000e+03 3.635755016116e-15 2.473022096705e-14
8.580000000000e+03 3.606164434925e-15 6.053269550076e-14
8.640000000000e+03 3.632705233610e-15 1.405332664509e-13
8.700000000000e+03 3.696886521512e-15 3.196170815308e-13
8.760000000000e+03 3.776334215628e-15 7.197735217351e-13
8.820000000000e+03 3.908306369980e-15 1.609611947962e-12
8.880000000000e+03 4.181953284190e-15 3.601373464899e-12
8.940000000000e+03 4.514374018925e-15 8.058570012337e-12
9.000000000000e+03 5.288334210700e-15 1.803047993875e-11
9.060000000000e+03 6.973311814021e-15 4.033445275500e-11
9.120000000000e+03 1.051847219868e-14 9.020789046581e-11
9.180000000000e+03 1.784018215917e-14 2.016984084928e-10
9.240000000000e+03 3.280458968319e-14 4.508633282582e-10
9.300000000000e+03 6.320730258280e-14 1.007565313178e-09
9.360000000000e+03 1.247604308035e-13 2.251082591163e-09
9.420000000000e+03 2.491189985907e-13 5.028187101189e-09
9.480000000000e+03 5.000323033895e-13 1.122832041464e-08
9.540000000000e+03 1.005831151239e-12 2.506756037907e-08
9.600000000000e+03 2.024746468724e-12 5.594601765651e-08
9.660000000000e+03 4.076185361612e-12 1.248302416190e-07
9.720000000000e+03 8.204464417830e-12 2.784587841143e-07
9.780000000000e+03 1.650844723893e-11 6.210289658974e-07
9.840000000000e+03 3.320479513603e-11 1.385086721670e-06
9.900000000000e+03 6.676167733839e-11 3.087368185297e-06
9.960000000000e+03 1.341792474801e-10 6.886731282684e-06
1.002000000000e+04 2.695737429184e-10 1.532307210438e-05
1.008000000000e+04 5.413871468919e-10 3.418557207757e-05
1.014000000000e+04 1.086876606407e-09 7.592365076911e-05
1.020000000000e+04 2.181219054161e-09 1.696256435399e-04
1.026000000000e+04 4.375906827220e-09 3.763502972586e-04
1.032000000000e+04 8.775903204391e-09 8.382613615780e-04
1.038000000000e+04 1.759425899316e-08 1.944063484852e-03
1.044000000000e+04 3.526245365645e-08 4.195943597265e-03
1.050000000000e+04 7.064986526711e-08 7.997362155936e-03
1.056000000000e+04 1.415078090045e-07 1.384393772359e-02
1.062000000000e+04 2.833355148103e-07 2.233331598728e-02
1.068000000000e+04 5.671601255455e-07 3.417072963951e-02
1.074000000000e+04 1.134857148818e-06 5.017081610262e-02
1.080000000000e+04 2.270356131300e-06 7.125588789046e-02
1.086000000000e+04 4.539621882971e-06 9.845067380431e-02
1.092000000000e+04 9.077206252839e-06 1.328734964143e-01
1.098000000000e+04 1.813439140766e-05 1.757238943560e-01
1.104000000000e+04 3.624978201242e-05 2.282668062182e-01
1.110000000000e+04 7.232887539746e-05 2.918135668368e-01
1.116000000000e+04 1.446218167954e-04 3.677000991819e-01
1.122000000000e+04 2.879294455941e-04 4.572628236540e-01
1.128000000000e+04 5.768584531741e-04 5.618129702817e-01
1.134000000000e+04 1.141055176851e-03 6.826099089188e-01
1.140000000000e+04 2.296913482025e-03 8.208342105593e-01
1.146000000000e+04 4.646697137488e-03 9.775614153946e-01
1.152000000000e+04 9.540661321226e-03 1.153736975405e+00
1.158000000000e+04 1.802595055748e-02 1.350151681547e+00
1.164000000000e+04 3.131362466897e-02 1.567421741337e+00
1.170000000000e+04 5.088332959012e-02 1.805972760249e+00
1.176000000000e+04 7.851063582465e-02 2.066027733035e+00
1.182000000000e+04 1.162880260155e-01 2.347599277158e+00
1.188000000000e+04 1.666391212397e-01 2.650486211351e+00
1.194000000000e+04 2.323254403637e-01 2.974274445472e+00
1.200000000000e+04 3.164447140779e-01 3.318342014050e+00
1.206000000000e+04 4.224190189446e-01 3.681867964116e+00
1.212000000000e+04 5.539749621583e-01 4.063844710765e+00
1.218000000000e+04 7.151113273446e-01 4.463093382304e+00
1.224000000000e+04 9.100565422546e-01 4.878281630754e+00
1.230000000000e+04 1.143215495096e+00 5.307943347839e+00
1.236000000000e+04 1.419106240153e+00 5.750499719472e+00
1.242000000000e+04 1.742287532094e+00 6.204281065848e+00
1.248000000000e+04 2.117278517080e+00 6.667548946873e+00
1.254000000000e+04 2.548472267929e+00 7.138518060760e+00
1.260000000000e+04 3.040045163042e+00 7.615377522290e+00
1.266000000000e+04 3.595864360178e+00 8.096311170223e+00
1.272000000000e+04 4.219395793966e+00 8.579516617610e+00
1.278000000000e+04 4.913615219831e+00 9.063222825169e+00
1.284000000000e+04 5.680924831605e+00 9.545706040969e+00
1.290000000000e+04 6.523077888067e+00 1.002530400765e+01
1.296000000000e+04 7.441113620036e+00 1.050042840157e+01
1.302000000000e+04 8.435304436865e+00 1.096957552247e+01
1.308000000000e+04 9.505117109821e+00 1.143133526063e+01
1.314000000000e+04 1.064918921776e+01 1.188439838955e+01
1.320000000000e+04 1.186532171341e+01 1.232756226793e+01
1.326000000000e+04 1.315048796408e+01 1.275973503090e+01
1.332000000000e+04 1.450085940552e+01 1.317993832080e+01
1.338000000000e+04 1.591184700031e+01 1.358730871412e+01
1.344000000000e+04 1.737815755067e+01 1.398109814622e+01
1.350000000000e+04 1.889386352404e+01 1.436067328910e+01
1.356000000000e+04 2.045248449859e+01 1.472551377140e+01
1.362000000000e+04 2.204707896364e+01 1.507520971908e+01
1.368000000000e+04 2.367034515132e+01 1.540945848681e+01
1.374000000000e+04 2.531472102293e+01 1.572805970411e+01
1.380000000000e+04 2.697249128518e+01 1.603090980952e+01
1.386000000000e+04 2.863589555388e+01 1.631799886115e+01
1.392000000000e+04 3.029724011467e+01 1.658940414686e+01
1.398000000000e+04 3.194897457808e+01 1.684528327744e+01
1.404000000000e+04 3.358383972615e+01 1.708586834967e+01
1.410000000000e+04 3.519485628893e+01 1.731146380164e+01
1.416000000000e+04 3.677551619236e+01 1.752243042861e+01
1.422000000000e+04 3.831979813718e+01 1.771916147002e+01
1.428000000000e+04 3.982222232409e+01 1.790212627892e+01
1.434000000000e+04 4.127789348302e+01 1.807183492420e+01
1.440000000000e+04 4.268253200069e+01 1.822882918864e+01
1.446000000000e+04 4.403249324781e+01 1.837358769362e+01
1.452000000000e+04 4.532477548760e+01 1.850718577269e+01
1.458000000000e+04 4.655701699473e+01 1.863073293189e+01
1.464000000000e+04 4.772748322197e+01 1.874310563510e+01
1.470000000000e+04 4.883504501979e+01 1.884424924610e+01
1.476000000000e+04 4.987914903842e+01 1.893457498689e+01
1.482000000000e+04 5.085978152302e+01 1.901701161741e+01
1.488000000000e+04 5.177742675700e+01 1.909235197336e+01
1.494000000000e+04 5.263302141626e+01 1.916249398326e+01
1.500000000000e+04 5.342790605781e+01 1.922718759248e+01
