# Observation File: data_collection.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [d]
# -----------------------------------------------------------------------------
# Observation Name: outlet discharge [mol d^-1]
# Region: surface outlet
# Reduction: extensive integral
# Variable: surface_star-water_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: total evaporation [m d^-1]
# Region: surface domain
# Reduction: average
# Variable: surface_star-evaporative_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: snow precipitation [m d^-1]
# Region: surface domain
# Reduction: average
# Variable: surface_star-precipitation
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: rain precipitation [m d^-1]
# Region: surface domain
# Reduction: average
# Variable: surface_star-precipitation_rain
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: surface water content [mol]
# Region: surface domain
# Reduction: extensive integral
# Variable: surface_star-water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: subsurface water content [mol]
# Region: surface domain
# Reduction: extensive integral
# Variable: surface_star-water_content_column
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: snow water content [mol]
# Region: surface domain
# Reduction: extensive integral
# Variable: surface_star-water_content_snow
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: surface air temperature [K]
# Region: surface domain
# Reduction: average
# Variable: surface_star-air_temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: surface ALT average temperature [K]
# Region: surface domain
# Reduction: average
# Variable: surface_star-alt_avg_temp
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: surface thaw depth min [m]
# Region: surface domain
# Reduction: minimum
# Variable: surface_star-thaw_depth
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: surface thaw depth max [m]
# Region: surface domain
# Reduction: maximum
# Variable: surface_star-thaw_depth
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: surface water table [m]
# Region: surface domain
# Reduction: average
# Variable: surface_star-water_table
# Number of Vectors: 1
# =============================================================================
"time [d]","outlet discharge [mol d^-1]","total evaporation [m d^-1]","snow precipitation [m d^-1]","rain precipitation [m d^-1]","surface water content [mol]","subsurface water content [mol]","snow water content [mol]","surface air temperature [K]","surface ALT average temperature [K]","surface thaw depth min [m]","surface thaw depth max [m]","surface water table [m]"
5.000000000000e-01,0.000000000000e+00,-4.573082028624e-03,2.565190034163e-04,0.000000000000e+00,0.000000000000e+00,1.161264193370e+09,3.115440310394e+00,2.502185047243e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.161544841139e+00
1.500000000000e+00,0.000000000000e+00,-6.435734626927e-03,5.130380068327e-04,0.000000000000e+00,0.000000000000e+00,1.161264193235e+09,8.504108396953e+00,2.501020524143e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.161544841139e+00
2.500000000000e+00,0.000000000000e+00,-6.468946413904e-03,5.130380068327e-04,0.000000000000e+00,0.000000000000e+00,1.161264193236e+09,1.391854019832e+01,2.499661250828e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.161544841139e+00
3.500000000000e+00,0.000000000000e+00,-6.507984679218e-03,5.130380068327e-04,0.000000000000e+00,0.000000000000e+00,1.161264193139e+09,1.936330313564e+01,2.498193864092e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.161544841139e+00
4.500000000000e+00,0.000000000000e+00,-6.536495075492e-03,5.130380068327e-04,0.000000000000e+00,0.000000000000e+00,1.161264192951e+09,2.482976443421e+01,2.496660543869e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.161544841139e+00
5.500000000000e+00,0.000000000000e+00,-6.548246471467e-03,5.130380068327e-04,0.000000000000e+00,0.000000000000e+00,1.161264192810e+09,3.030510315625e+01,2.495004522693e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.161544841139e+00
6.500000000000e+00,0.000000000000e+00,-6.532248375208e-03,5.130380068327e-04,0.000000000000e+00,0.000000000000e+00,1.161264192712e+09,3.576804299628e+01,2.493463389818e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.161544841139e+00
7.500000000000e+00,0.000000000000e+00,-6.520494740439e-03,5.130380068327e-04,0.000000000000e+00,0.000000000000e+00,1.161264192643e+09,4.122198636186e+01,2.492336174214e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.161544841139e+00
8.500000000000e+00,0.000000000000e+00,-6.521480360133e-03,5.130380068327e-04,0.000000000000e+00,0.000000000000e+00,1.161264192664e+09,4.667719249913e+01,2.491541979046e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.161544841139e+00
9.500000000000e+00,0.000000000000e+00,-6.513102370052e-03,5.130380068327e-04,0.000000000000e+00,0.000000000000e+00,1.161264192699e+09,5.212584065716e+01,2.490688841413e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.161544841139e+00
