# Observation File: surface-outlet.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: surface-component_concentration
# Region: surface outlet
# Reduction: point
# Variable: surface-total_component_concentration
# Number of Vectors: 6
# =============================================================================
"time [s]" "surface-component_concentration DOM1" "surface-component_concentration O2(aq)" "surface-component_concentration NO3-" "surface-component_concentration HCO3-" "surface-component_concentration H+" "surface-component_concentration N2(aq)"
0.000000000000e+00 1.000000000000e-04 2.654112300517e-04 2.000000000000e-06 1.974773070179e-05 1.458050895536e-05 2.655183879684e-02
2.000000000000e+01 9.965949673569e-05 2.645074961495e-04 1.993189934714e-06 1.968048903413e-05 1.453086184644e-05 2.646142891900e-02
4.000000000000e+01 9.951588619162e-05 2.641292844000e-04 1.990353316097e-06 1.965426254864e-05 1.451196428304e-05 2.642377068623e-02
6.000000000000e+01 9.940061737798e-05 2.638292116597e-04 1.988118763678e-06 1.963574494505e-05 1.449922050201e-05 2.639410592154e-02
8.000000000000e+01 9.929268952690e-05 2.635515352170e-04 1.986066209633e-06 1.962078593251e-05 1.448956455561e-05 2.636685784103e-02
1.000000000000e+02 9.918814408914e-05 2.632857320288e-04 1.984116282426e-06 1.960859212368e-05 1.448240856934e-05 2.634097271521e-02
1.200000000000e+02 9.908533446747e-05 2.630274178320e-04 1.982235880882e-06 1.959882846812e-05 1.447750306752e-05 2.631601109664e-02
1.400000000000e+02 9.898324192308e-05 2.627738749383e-04 1.980404463015e-06 1.959128400883e-05 1.447469018336e-05 2.629170027269e-02
1.600000000000e+02 9.888117525076e-05 2.625232549094e-04 1.978608036766e-06 1.958581241942e-05 1.447385975257e-05 2.626785448705e-02
1.800000000000e+02 9.877865820598e-05 2.622742797384e-04 1.976836908102e-06 1.958230974835e-05 1.447493287893e-05 2.624434504364e-02
2.000000000000e+02 9.867536221858e-05 2.620260632387e-04 1.975084334975e-06 1.958070111320e-05 1.447785210719e-05 2.622108243670e-02
2.200000000000e+02 9.857106107287e-05 2.617779907359e-04 1.973345620631e-06 1.958093173454e-05 1.448257479994e-05 2.619800431360e-02
2.400000000000e+02 9.846559970908e-05 2.615296362349e-04 1.971617489327e-06 1.958296078608e-05 1.448906860235e-05 2.617506718695e-02
2.600000000000e+02 9.835887264003e-05 2.612807051253e-04 1.969897654491e-06 1.958675705270e-05 1.449730821304e-05 2.615224070146e-02
2.800000000000e+02 9.825080899735e-05 2.610309944680e-04 1.968184519378e-06 1.959229599996e-05 1.450727322884e-05 2.612950365990e-02
3.000000000000e+02 9.814136214753e-05 2.607803654176e-04 1.966476969178e-06 1.959955771007e-05 1.451894661794e-05 2.610684126317e-02
3.200000000000e+02 9.803050246722e-05 2.605287240299e-04 1.964774226314e-06 1.960852544249e-05 1.453231365433e-05 2.608424318919e-02
3.400000000000e+02 9.791821230483e-05 2.602760078731e-04 1.963075749475e-06 1.961918462646e-05 1.454736117120e-05 2.606170225251e-02
3.600000000000e+02 9.780448245812e-05 2.600221766615e-04 1.961381162962e-06 1.963152215288e-05 1.456407703539e-05 2.603921346627e-02
3.800000000000e+02 9.768930970524e-05 2.597672056855e-04 1.959690207099e-06 1.964552587389e-05 1.458244977505e-05 2.601677338387e-02
4.000000000000e+02 9.757269507039e-05 2.595110811907e-04 1.958002703330e-06 1.966118424715e-05 1.460246831408e-05 2.599437963562e-02
4.200000000000e+02 9.745457113074e-05 2.592536694980e-04 1.956317804852e-06 1.967847126306e-05 1.462410572070e-05 2.597202098873e-02
4.400000000000e+02 9.733501389498e-05 2.589950965572e-04 1.954636157078e-06 1.969738851324e-05 1.464736483179e-05 2.594970600417e-02
4.600000000000e+02 9.721403112152e-05 2.587353654706e-04 1.952957703655e-06 1.971792486027e-05 1.467223465184e-05 2.592743393440e-02
4.800000000000e+02 9.709163172270e-05 2.584744819946e-04 1.951282406389e-06 1.974006910513e-05 1.469870407959e-05 2.590520427288e-02
5.000000000000e+02 9.696782546951e-05 2.582124537390e-04 1.949610239114e-06 1.976380991101e-05 1.472676184541e-05 2.588301667267e-02
5.200000000000e+02 9.684262279351e-05 2.579492896153e-04 1.947941183429e-06 1.978913574540e-05 1.475639646403e-05 2.586087088983e-02
5.400000000000e+02 9.671603465715e-05 2.576849994654e-04 1.946275225767e-06 1.981603483409e-05 1.478759619608e-05 2.583876674449e-02
5.600000000000e+02 9.658807247315e-05 2.574195938164e-04 1.944612355417e-06 1.984449512323e-05 1.482034901525e-05 2.581670409457e-02
5.800000000000e+02 9.645874805942e-05 2.571530837289e-04 1.942952563224e-06 1.987450424657e-05 1.485464257889e-05 2.579468281854e-02
6.000000000000e+02 9.632807361946e-05 2.568854807088e-04 1.941295840766e-06 1.990604949579e-05 1.489046420043e-05 2.577270280449e-02
6.200000000000e+02 9.619606174121e-05 2.566167966660e-04 1.939642179872e-06 1.993911779243e-05 1.492780082256e-05 2.575076394364e-02
6.400000000000e+02 9.606272540902e-05 2.563470439043e-04 1.937991572350e-06 1.997369565999e-05 1.496663899004e-05 2.572886612685e-02
6.600000000000e+02 9.592807802503e-05 2.560762351334e-04 1.936344009879e-06 2.000976919551e-05 1.500696482156e-05 2.570700924304e-02
6.800000000000e+02 9.579213343745e-05 2.558043834944e-04 1.934699483978e-06 2.004732403974e-05 1.504876397998e-05 2.568519317881e-02
7.000000000000e+02 9.565490597382e-05 2.555315025959e-04 1.933057986033e-06 2.008634534543e-05 1.509202164056e-05 2.566341781886e-02
7.200000000000e+02 9.551641047820e-05 2.552576065547e-04 1.931419507354e-06 2.012681774313e-05 1.513672245662e-05 2.564168304658e-02
7.400000000000e+02 9.537666235169e-05 2.549827100417e-04 1.929784039231e-06 2.016872530426e-05 1.518285052247e-05 2.561998874490e-02
7.600000000000e+02 9.523567759584e-05 2.547068283298e-04 1.928151572995e-06 2.021205150105e-05 1.523038933320e-05 2.559833479699e-02
7.800000000000e+02 9.509347285900e-05 2.544299773439e-04 1.926522100062e-06 2.025677916301e-05 1.527932174103e-05 2.557672108692e-02
8.000000000000e+02 9.495006548572e-05 2.541521737137e-04 1.924895611979e-06 2.030289042978e-05 1.532962990805e-05 2.555514750013e-02
